NUTTAB index,data_source,name,variety,extra_desc,notes,data_notes,density,food_type,brand,category,energy,water,protein,fat,fibre,sugar,starch,carbohydrate,sugar_alcohol,saturated_fat,monounsaturated_fat,polyunsaturated_fat,trans_fat,caffeine,quantity,quantity_unit,energy_unit,salt
"F002258","Borrowed","cardamom seed","dried","ground","Ground spice commonly used in Indian cooking and drinks, in Middle Eastern cooking and in Scandinavian baking","The majority of nutrient data were borrowed from USDA SR28, 02006 - Spices, cardamom. Proximates (starch, total sugars), vitamins (alpha-tocopherol, beta-carotene, folate) and Se were borrowed from Indian Food Composition Tables 2017, G020 - Cardamom, green. Dry matter adjustment was applied to starch and sugar. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), I, caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",,"nuttab",,"uncategorised",1236.0,8.3,10.8,6.7,28.0,4.4,30.0,34.4,0.0,2.2,2.81,1.39,0.0,0.0,100.0,"g","kj",
"F002893","Borrowed","chilli (chili)","dried","ground","Dried and ground red pepper, characterised by a hot sensation when consumed as a spice.","The majority of nutrient data was borrowed USDA SR28, 02009 - Spices, chili powder. Iodine was borrowed from NZ FOODfiles 2014, P28 - Spice, chilli powder. Alcohol, vitamins (B12, folic acid, retinol, C, D), caffeine and cholesterol were imputed zero.",,"nuttab",,"uncategorised",1280.0,10.8,13.4,14.3,34.8,7.2,7.7,14.9,0.0,2.06,2.68,6.69,0.0,0.0,100.0,"g","kj",
"F002963","Borrowed","cinnamon","dried","ground","Dried and ground bark or quills of Cinnamomum verum, C. zeylanicum or C. aromaticum, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02010 - Spices, cinnamon, ground. Iodine was borrowed from NZ FOODfiles 2014, P29 - Spice, cinnamon, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",,"nuttab",,"uncategorised",1004.0,10.6,4.0,1.2,53.1,2.2,25.3,27.5,0.0,0.62,0.44,0.12,0.0,0.0,100.0,"g","kj",
"F002970","Borrowed","cloves","dried","ground","Dried and ground, unopened flower buds of Syzygium aromaticum, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02011 - Spices, cloves, ground. Iodine was borrowed from NZ FOODfiles 2014, P30 - Spice, cloves, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",,"nuttab",,"uncategorised",1389.0,9.9,6.0,13.0,33.9,2.4,29.2,31.6,0.0,5.49,1.93,5.03,0.0,0.0,100.0,"g","kj",
"F003190","Borrowed","coriander seed","dried","ground","Dried and ground fruit or seed of Coriandrum sativum, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02013 - Spices, coriander seed. Proximates (starch, total sugars) and vitamins (B6, alpha-tocopherol, beta-carotene) were borrowed from Indian FCDB 2011-13, G024 - Coriander seeds. Iodine was borrowed from NZ FOODfiles 2014, P32 - Seed, coriander. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",,"nuttab",,"uncategorised",1344.0,8.9,12.4,17.8,41.9,2.4,6.1,8.4,0.0,1.03,14.14,1.82,0.0,0.0,100.0,"g","kj",
"F003327","Borrowed","cumin (cummin) seed","dried","ground","Dried and ground fruit or seeds of Cuminum cymimum, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02014 - Spices, cumin seed. Iodine was borrowed from NZ FOODfiles 2014, P33 - Seed, cumin. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",,"nuttab",,"uncategorised",1782.0,8.1,17.8,22.3,10.5,2.2,31.5,33.7,0.0,1.73,15.85,3.7,0.0,0.0,100.0,"g","kj",
"F003337","Borrowed","curry powder",,,"Dried and ground mixture of spices for use in the preparation of Indian-style meals. Typical ingredients include the spices cumin, coriander seed and turmeric.","The majority of nutrient data were borrowed from USDA SR28, 02015 Spices, curry powder. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",,"nuttab",,"uncategorised",1231.0,8.8,14.3,14.0,53.2,2.8,0.0,2.8,0.0,1.64,8.72,3.02,0.0,0.0,100.0,"g","kj",
"F003821","Borrowed","fenugreek seed","dried",,"Dried fenugreek seeds used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02019 - Spices, fenugreek seed. Alpha-tocopherol, beta-carotene, proximates (starch, total sugars, fibre) and fatty acids were borrowed from Indian FCT G026 - Fenugreek seeds. Iodine was borrowed from NZ FOODfiles 2014, P37 - Seed, fenugreek. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",,"nuttab",,"uncategorised",1080.0,8.8,23.0,6.4,47.6,0.6,3.7,4.2,0.0,1.03,0.9,4.2,0.0,0.0,100.0,"g","kj",
"F004210","Borrowed","ginger","dried","ground","Dried and ground rhizome of Zingiber officinale, used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02021 Spices, ginger ground. Iodine was borrowed from NZ FOODfiles 2014, P4 - Spice, ginger, dried, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",,"nuttab",,"uncategorised",1397.0,9.9,9.0,4.2,14.1,3.4,54.1,57.5,0.0,2.2,0.4,0.79,0.0,0.0,100.0,"g","kj",
"F005972","Analysed","mustard powder",,,"Dry powder composed of ground yellow mustard seeds, for use in preparation of mustard paste or incorporation into other foods.","The majority of nutrient data were derived from a composite sample of 6 purchases (4x Keens, 2x McCormick) of mustard powder purchased in Adelaide in 1990. Folate, C, B6, alpha-tocopherol and tryptophan were borrowed from the USDA SR28, 02024 - Spices, mustard seed, ground. Fibre is estimated based on products available in 2012. Alcohol, vitamins (retinol, folic acid, B12, D), iodine, caffeine and cholesterol were imputed zero.",,"nuttab",,"uncategorised",2289.0,4.3,29.4,39.5,5.0,5.0,12.2,17.2,0.0,2.0,23.9,11.9,0.0,0.0,100.0,"g","kj",
"F006118","Borrowed","nutmeg","dried","ground","Dried and ground seed of Myristica fragrans (M. officinalis or M. aromatica), used as a spice.","The majority of nutrient data were borrowed from USDA SR28, 02025 - Spices, nutmeg, ground. Iodine was borrowed from NZ FOODfiles 2014, P42 - Spice, nutmeg, ground. Tryptophan was imputed from ground cinnamon. Alcohol, vitamins (retinol, folic acid, B12, D), caffeine and cholesterol were imputed zero.",,"nuttab",,"uncategorised",2090.0,6.2,5.8,36.3,20.8,3.0,25.5,28.5,0.0,30.51,3.79,0.41,0.0,0.0,100.0,"g","kj",
