NUTTAB index,name,quantity,quantity_unit,notes
"F000996","can",375.0,"ml","Assumes 375mL based on FSANZ internet search. Volume multiplied by density to determine the gram amount."
"F000994","can",375.0,"ml","Assumes 375mL based on FSANZ internet search. Volume multiplied by density to determine the gram amount."
"F000995","can",375.0,"ml","Assumes 375mL based on FSANZ internet search. Volume multiplied by density to determine the gram amount."
"F001006","can",375.0,"ml","Assumes 375mL based on FSANZ internet search. Volume multiplied by density to determine the gram amount."
"F001004","can",375.0,"ml","Assumes 375mL based on FSANZ internet search. Volume multiplied by density to determine the gram amount."
"F000051","shot",30.0,"ml","Assumes 30 mL based on FSANZ internet research 2011. Volume multiplied by density to determine gram amount."
"F002955","bottle",394.0,"ml","Based on the average bottle size of 7 commonly available apple ciders"
"F008402","can",375.0,"ml","Based on standard can size and density."
"F008402","bottle",600.0,"ml","Based on standard bottle size multiplied by density."
"F008403","can",375.0,"ml","Based on standard can size and density."
"F008403","bottle",600.0,"ml","Based on standard bottle size multiplied by density."
"F008404","bottle",600.0,"ml","Based on standard bottle size multiplied by density."
"F008404","can",375.0,"ml","Based on standard can size and density."
"F008405","can",375.0,"ml","Based on standard can size and density."
"F008405","bottle",600.0,"ml","Based on standard bottle size multiplied by density."
"F008421","can",250.0,"ml","Size of small Red Bull can available in 2017.  Volume multiplied by density to determine the gram amount."
"F008424","can",250.0,"ml","Size of small V can available in April 2013.  Volume multiplied by density to determine the gram amount."
"F008438","can",375.0,"ml","Based on standard can size multiplied by density."
"F008438","bottle",600.0,"ml","Based on standard bottle size multiplied by density."
"F008439","bottle",600.0,"ml","Based on standard bottle size multiplied by density."
"F008439","can",375.0,"ml","Based on standard can size multiplied by density."
"F008460","bottle",300.0,"ml","Based on standard bottle size multiplied by density."
"F008461","bottle",300.0,"ml","Based on standard bottle size multiplied by density."
"F003095","medium cone",4.0,"g","From AUSNUT 2007 record 02C20219 Cone, wafer style, for ice cream"
