index_name,name,quantity,quantity_unit,is_default
almonds,almond,1.5,g,1
apple-juice,glass,250,ml,1
barley-wrap,wrap,45,g,1
beer-boags-light,bottle,375,ml,1
beer-cheekyblonde,bottle,330,ml,1
beer-coopers,bottle,355,ml,1
beer-james-150,bottle,345,ml,1
beer-tooheys-new,bottle,375,ml,1
bega,slice,17,g,1
bread-bg-oats,slice,46,g,1
bread-bg-pks,slice,43,g,1
bread-bg-whole,slice,43,g,1
bread-delba-rye,slice,34,g,1
bread-helga-5,slice,43,g,1
choc-coles,square,10,g,1
choc-lindt-85,square,10,g,1
choc-lindt-90,square,10,g,1
choc-perugina,square,10,g,1
egg,large,60,g,1
egg,medium,50,g,
mackerel-ap,tin,100,g,1
mackerel-jw,tin,90,g,1
mackerel-ko,tin,80,g,1
mackerel-ko-brine,tin,80,g,1
mackerel-ko-med,tin,74,g,1
mackerel-ko-oil,tin,74,g,1
mackerel-sm-herb,tin,84,g,1
mackerel-sm-oil,tin,84,g,1
milk,glass,220,ml,1
milk-ff,glass,220,ml,1
milk-hf,glass,220,ml,1
milk-skim,glass,220,ml,1
milk-sogood,glass,250,ml,1
milk-soy-org,glass,250,ml,1
milk-zymil,glass,220,ml,1
premium,cracker,5.5,g,1
pumpernickel,slice,60,g,1
pumpernickel-vdm,slice,50,g,1
rice-cracker-deli,cracker,2,g,1
roggen-brot,slice,50,g,1
ryvita,slice,11,g,1
salmon-jw-wild,tin,75,g,1
salmon-safcol,tin,62,g,1
salmon-tassal,tin,70,g,1
strongbow-low-carb,bottle,355,ml,1
strongbow-original,bottle,355,ml,1
tuna-safcol,tin,67,g,1
tuna-sirena,tin,70,g,1
tuna-sirena-lite,tin,70,g,1
tuna-solemare,tin,70,g,1
vitawheat,cracker,6,g,1
vitawheat-5,cracker,6,g,1
vitawheat-orig,cracker,6,g,1
vitawheat-pepper,cracker,6,g,1
waferthins,cracker,1.67,g,1
yoghurt-chobani,tub,170,g,1
yoghurt-chobani-4,tub,170,g,1
rice-cracker,cracker,6.5,g,1
rice-cracker-q,cracker,6.5,g,1
ryvita-orig,cracker,10,g,1
crispbread-drkarg,slice,25,g,1
mackerel-rio,tin,90,g,1
cracker-wasa,slice,11,g,1
bread-eiweiss,slice,34,g,1
mozzarella-carloni,piece,125,g,1
mackerel-migros,tin,90,g,1
sardines-almare,tin,90,g,1
sardines-migros,tin,90,g,1
octopus-migros,tin,80,g,1
tuna-migros,tin,80,g,1
choc-choceur,square,10,g,1
yoghurt-greek-coop,tub,150,g,1
cracker-burger,cracker,9,g,1
mackerel-coop,tin,85,g,1
sardines-portview,tin,90,g,1
sardines-ko,tin,80,g,1
sardines-jw,tin,75,g,1
beer-pureblonde,bottle,355,g,1
cider-pureblonde,bottle,355,g,1
ryvita-sesame,cracker,5.5,g,1
sardines-safcol-tomato,tin,110,g,1
sardines-safcol,tin,75,g,1
choc-rich,piece,7.5,g,1
choc-coles-low,bar,20,g,1
corn-cracker,cracker,2.8,g,1
salmon-safcol-lemon,tin,62,g,1
seaweed-nori,sheet,2.5,g,1
tuno,tin,114,g,1
bread-bills-hemp,slice,41,g,1
roasted-seaweed,packet,5,g,1
wrap-lowcarb,wrap,50,g,1
dashi-powder,packet,9,g,1
